Unnamed: 0,Datetime,Text,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Sentiment
24,2020-04-08 17:36:03+00:00, corona                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,,,,,0
25,2020-04-08 17:35:07+00:00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Corona                                                 ,,,,,0
26,2020-04-08 17:35:07+00:00,                                                                                                            COVID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Corona                                                 ,,,,,0
27,2020-04-08 17:34:49+00:00,After district  hotspots getting sealed in  Delhi    UttarPradesh   now  MadhyaPradesh seals    districts  including Bhopal  Indore  Ujjain     Corona,,,,,0
28,2020-04-08 17:32:34+00:00,Delhi sealed areas      Corona Hotspots  COVID    StayHomeIndia  StaySafe  IndiaLockdown  Delhi  COVID      COVID  COVID       IndiaFightsCoronavirus,,,,,0
29,2020-04-08 17:29:45+00:00,                          Corona                                  ,,,,,0
30,2020-04-08 17:29:40+00:00,Meanwhile  in Sopore  Baramulla  thousands attend funeral prayers of local Jaish e Mohammed militant Sajad Ahmed Dar  killed in the encounter today   Corona  CoronaLockdown  CoronaOutbreak,,,,,-1
31,2020-04-08 17:28:59+00:00,Philanthropy with photo ops must be discouraged as people are seen making mockery of safety and distancing  overturning whatever contribution they think they were making for mitigating  corona impact by their actions  Govt Agencies  politicians particularly ,,,,,1
32,2020-04-08 17:28:50+00:00,                                                                                                                                                                                                                                                                                 Stay Home Stay Safe  Corona  CoronaOutbreak  lockdownextension  lockdownindia,,,,,1
33,2020-04-08 17:27:15+00:00, Corona  India From   to       cases    weeks From       to       cases    days,,,,,0
34,2020-04-08 17:25:08+00:00,So much dedication for duty but still few r not taking it seriously     Coronafighters  Corona  COVID    ,,,,,1
35,2020-04-08 17:24:28+00:00,                                             Request                  lockdown                                                                                                                                                         corona                                                                                                                                                                                                                                                                            StayHomeIndia  StayHomeSaveLives  coronavirusindia,,,,,0
36,2020-04-08 17:21:32+00:00,Outbreak the food hunger  ngo  corona  delhicmarvindkejriwal  pmo  narendramodi  zeenewslive  indiatv  republicbharat  aajtak  delhiaajtak  SEEDS NGO  umMWoFoOy  igshid   c fygsxcxqg,,,,,-1
37,2020-04-08 17:19:22+00:00,                                                                                                                                                                                                          YogiAdityanath  UttarPradesh  Corona  coronaupdatesindia  CoronaLockdown,,,,,0
38,2020-04-08 17:18:39+00:00,                                                                                                                                                                                                                                                      Corona  COVID    StayHomeSaveLives  ,,,,,0
39,2020-04-08 17:16:47+00:00,   hotspots sealed in  Delhi    Corona ,,,,,0
40,2020-04-08 17:15:55+00:00,Set recorded for Secret Set  Sounds bloody awesome  Get ready to dance Bollywood style India to USA   Woohoo  bollywood  quarantine  party  desi  style  dance  indiandj  djbhuvi  dj  night  music  bedroomdj  electric  vibes  india  usa  corona ,,,,,1
41,2020-04-08 17:13:04+00:00,Nawanshehar  SBS Nagar  on recovering  Test reports of   more COVID    patients Negative  Total    Patient Recovered in Distt   Punjab  Corona,,,,,-1
42,2020-04-08 17:12:07+00:00, digitalart  love  lovequotes  loveyourself  missyou  miss  you  relationshipgoals  relatable post  emotions  emo  message  halat  esa  tha  humara  pyaar  covid  corona  covid      aab mohobbat hogi digital   ulHW pVLJ  igshid  cua bwblixsj,,,,,1
43,2020-04-08 17:10:46+00:00, corona                                                                                                                           ,,,,,0
44,2020-04-08 17:10:13+00:00,Meerut zone comprising   districts of West UP has    fresh positive cases of Coronavirus infection  coronaupdatesindia  CoronavirusCrisis  COVID    COVID      Corona,,,,,1
45,2020-04-08 17:09:53+00:00,Delhi  Total     Cases    Death  Punjab  Total      Approx  Cases    death  Why Mortality Rate so high in Punjab     Corona ,,,,,-1
46,2020-04-08 17:09:45+00:00,So Sad  Corona ,,,,,-1
47,2020-04-08 17:09:31+00:00, india            Yam doot                   is subtle body carrier after death of Human being according to Hindu myths  On  Haridwar roads person in  yam doot Costumes  influencing people to  StayHomeIndia  CoronavirusLockdown  IndiaVsCorona                                                        Corona ,,,,,-1
48,2020-04-08 17:08:50+00:00,Friends to remove coronavirus from earth try to chant these few words for five time every hour  LET WOLF MAGIC BEGINS NOW  Spread this message as viral This message from very good astrologer   COVID  Covid   india  CoronaTigerForce  coronavirus  corona ,,,,,1
49,2020-04-08 17:08:10+00:00,                                                                                                  Corona  Coronafighters  COVID    india,,,,,0
50,2020-04-08 17:06:45+00:00,  more positive cases in Ludhiana   Punjab  Corona,,,,,1
51,2020-04-08 17:06:11+00:00,CM                                                MP                                                                                                                                                                                                                     MadhyaPradesh  bjp mp  ShivrajSinghChouhan  Indore  Bhopal  topparentapp  IndoreFightsCorona  Corona ,,,,,0
52,2020-04-08 17:05:33+00:00,                                                                                                                                           Satna     Lockdown  coronavirus  corona ,,,,,0
53,2020-04-08 17:05:30+00:00,                                                                                                                                                                                                                                       Yogi                                         UPPolice  YogiAdityanath  UttarPradesh                                                IndiaFightsCorona  Corona,,,,,0
54,2020-04-08 17:05:26+00:00,                                                                                                                                                                                                                                                                            Corona  Yogi                                         Yogi                      UPPolice  UttarPradesh  hotspots  policeyogisarkar  UPPolice  hotspots  TwitterLive  Twitter  Seconds  UPGovernment,,,,,0
55,2020-04-08 17:04:55+00:00,                                                                                                                                       Corona                                                                                                                               CoronaWarriors                                                                                                                                                                                                                                                                                                                                         ,,,,,0
56,2020-04-08 17:02:32+00:00,Main apse request karungi ki yaha par jald se jald dawaai ka chidkaav karayein aur logo par check rakhe                   Coronavirus  Corona  IndiaFightsCorona,,,,,0
57,2020-04-08 17:02:12+00:00,Most powerful leader of world Sri  ji  All world leaders taking help from him to fight with  Corona   ModiLeadingTheWorld,,,,,1
58,2020-04-08 17:01:03+00:00,Solidarity Series Vodcast No   April         Topic  State Power   Surveillance in Times of Lockdown Speaker  Shalmali Guttal  To watch rest of the vodcasts visit   solidarity series   solodarityseries  corona  lockdown  civilliberties  emergency,,,,,1
59,2020-04-08 17:00:23+00:00,the world looks so beautiful during the lockdown  Hardly any pollution  Could you please share some pictures of India   If possible  It ll inspire over a billion people here and may motivate them to reduce their carbon footprint in the post  Corona world  ,,,,,1
60,2020-04-08 17:00:18+00:00,Golfers put their shoulder to the  Corona  Coronafighters wheel as     and teenager  join the push         ,,,,,1
61,2020-04-08 16:57:28+00:00, Corona hotspots in Delhi to be sealed ,,,,,0
62,2020-04-08 16:57:05+00:00,Do you know the feeling of being homesick  well  I am feeling quite opposite right now   WhenWillThisCoronaGo  GodSaveThePoor  corona,,,,,0
63,2020-04-08 16:56:59+00:00,                                                                                                                                                                                                                                                                                                                                                                                                                            Corona                                                                                                                                                                                                                                                        CoronaUpdate,,,,,0
64,2020-04-08 16:55:22+00:00,Expecting countries to have much more cordial relationship going forward by helping each other amid Covid   pandemic  and focusing more on the healthcare than weapons  going forward  Blessing in disguise   Corona  covidusa  COVID  COVID  Pandemic  coronalockdownuk,,,,,1
65,2020-04-08 16:54:41+00:00,emember the last time you casually strolled the streets  shook hands with a stranger  travelled in a jam packed metro  went for a long drive or sat in a rickshaw  had a cup of tea from roadside stall  Do you remember   corona  lockdown,,,,,-1
66,2020-04-08 16:54:18+00:00,   pls start producing n    masks at military scale  Those helping fight  corona like medical  police  administration etc need proper PPE ,,,,,1
67,2020-04-08 16:54:05+00:00,                                                                                   Covid                                                                                  Corona                                                                               ,,,,,0
68,2020-04-08 16:53:31+00:00,  another police personnel from DP infected with  corona virus  Head constable serving at FRRO found corona positive ,,,,,0
69,2020-04-08 16:53:23+00:00,All    additions in Delhi related to markaz     Corona,,,,,0
70,2020-04-08 16:52:05+00:00,ANI                                      DCP                                                                                                                                                                                                                                                                                             FakeNews  GodiMedia  ANI  ZeeNews  UPPolice  TabhleegiJamaat  Corona ,,,,,0
71,2020-04-08 16:51:55+00:00,Complete list of Hotspots in Delhi  Most of them are in East Delhi   Delhi  Lockdown  Corona  NewDelhi  Hotspots,,,,,0
72,2020-04-08 16:51:40+00:00,All    additions in Delhi related to markaz     Corona  CoronaStopKaroNa,,,,,0
73,2020-04-08 16:49:15+00:00,                                                                                                                                                                                              AbToDekhnaHiPadega    ParwahDeshKi    Corona    coronavirus    COVID      COVID  Pandemic,,,,,0
74,2020-04-08 16:47:49+00:00, MainBhiChowkidar  Corona ko  HaranaHai,,,,,0
75,2020-04-08 16:47:08+00:00, Delhi  DelhiFightsCorona  Corona  DelhiHotspots  Hotspots   Entire effected street near Gandhi Pqrk  Malviya Nagar  New Delhi   Entire effected street of Gali No     L   Sangam Vihar  New Delhi    Shahajahanabad society  plot no    Sector     Dwarka    Dinpur Village,,,,,-1
76,2020-04-08 16:45:05+00:00,  Status of  Corona testing in India Samples tested in India so far               ives    Samples tested today          Highest in a day till date  Of these       ive   Samples tested on Tues        Mon         lockdownextension  coronaupdatesindia  COVID    TestKaroNa,,,,,0
77,2020-04-08 16:44:29+00:00,                                                                                                                                         Corona  COVID  CoronaJihaad  lockdownextension,,,,,0
78,2020-04-08 16:44:24+00:00,Capital Quiet The old times   essentials  vegetablevendor  seriescapitalquiet  delhi  CoronavirusPandemic  corona  IndiaFightsCorona,,,,,0
79,2020-04-08 16:43:48+00:00, COVID                                                                                                                                                                             Corona  lockdownextension,,,,,0
80,2020-04-08 16:43:16+00:00,Due to less Pollution now i can see my ex girlfriends real face  corona  StayAtHome  COVID,,,,,-1
81,2020-04-08 16:41:16+00:00,Coronavirus cases in India surge to       death toll at      socialdistancing  coronavirus  covid    terapiaonline  skype  whatsapp  corona  besafe  protectyourself  awareness  letsfightcorona  stayhome  staysafe  Coronavirus  workfromhome  quarantine  selfisolation,,,,,-1
82,2020-04-08 16:41:15+00:00,                                                                                                                                                                                                                                                                                                                                                                                                                                                  SaluteUpPolice  StayHome  COVID  Corona  Quarantine  coronacommando,,,,,0
83,2020-04-08 16:41:11+00:00,UP Lockdown                                                                                                                                                                                                                     UttarPradesh  coronalockdown  coronaupdatesindia  CoronaStopKaroNa  Corona ,,,,,0
84,2020-04-08 16:40:22+00:00, corona A total of          samples have been tested as on    April       individuals have been confirmed positive among suspected cases and contacts of known positive cases in India   coronaupdatesindia,,,,,1
85,2020-04-08 16:40:17+00:00,China ends Coronavirus lockdown in Wuhan after    days  socialdistancing  coronavirus  covid    terapiaonline  skype  whatsapp  corona  besafe  protectyourself  awareness  letsfightcorona  stayhome  staysafe  Coronavirus  workfromhome  quarantine  selfisolation,,,,,0
86,2020-04-08 16:39:46+00:00,Coronavirus lockdown can only be lifted in phases   Rajasthan CM  socialdistancing  coronavirus  covid    terapiaonline  skype  whatsapp  corona  besafe  protectyourself  awareness  letsfightcorona  stayhome  staysafe  Coronavirus  workfromhome  quarantine  selfisolation,,,,,0
87,2020-04-08 16:39:40+00:00,Me wondering after scrolling past my twitter feed  Why is  dalgonacoffee trending   Me after scrolling past a few more threads    Maybe it s the only coffee that ends with na    corona  dalgona  dalgonacoffee,,,,,0
88,2020-04-08 16:39:19+00:00,oses are red Sky is blue Oh dear  corona Don t spread like flu   ShortPoem Make Yours ,,,,,1
89,2020-04-08 16:39:18+00:00,MP Chief Secy served notice as officials allegedly flout Covid    protocol  socialdistancing  coronavirus  covid    terapiaonline  skype  whatsapp  corona  besafe  protectyourself  awareness  letsfightcorona  stayhome  staysafe  Coronavirus  workfromhome  quarantine,,,,,0
90,2020-04-08 16:39:15+00:00,                                                                                                                                                                                          Corona  Lockdown,,,,,0
91,2020-04-08 16:38:41+00:00,Indian American journalist dies of Coronavirus in New York, PM Modi pays tribute #socialdistancing #coronavirus #covid19 #terapiaonline #skype #whatsapp #corona #besafe #protectyourself #awareness #letsfightcorona #stayhome #staysafe #Coronavirus #workfromhome #quarantine,,,,0
92,2020-04-08 16:38:11+00:00,Covid    cases in S Arabia could reach upto   lakh  Health Minister  socialdistancing  coronavirus  covid    terapiaonline  skype  whatsapp  corona  besafe  protectyourself  awareness  letsfightcorona  stayhome  staysafe  Coronavirus  workfromhome  quarantine  selfisolation,,,,,1
93,2020-04-08 16:38:07+00:00, corona   A total of          samples have been tested as on    April       individuals have been confirmed positive among suspected cases and contacts of known positive cases in India  ICMR ,,,,,1
94,2020-04-08 16:38:03+00:00,                                                                                                                                                                                                                                                                                                                                                         corona                                          ,,,,,0
95,2020-04-08 16:37:45+00:00,Lockdown may be extends for   weeks   Meanwhile extroverts   lockdownextension  corona  VirusChines  StayHome  StayHomeIndia,,,,,1
96,2020-04-08 16:37:38+00:00,     cases in Delhi so far     in ICU and   on ventilator  Minister  socialdistancing  coronavirus  covid    terapiaonline  skype  whatsapp  corona  besafe  protectyourself  awareness  letsfightcorona  stayhome  staysafe  Coronavirus  workfromhome  quarantine  selfisolation,,,,,0
97,2020-04-08 16:36:46+00:00,Covid    patient dies in Amritsar  family refuses to claim body  socialdistancing  coronavirus  covid    terapiaonline  skype  whatsapp  corona  besafe  protectyourself  awareness  letsfightcorona  stayhome  staysafe  Coronavirus  workfromhome  quarantine  selfisolation,,,,,-1
98,2020-04-08 16:36:01+00:00, VERIFIED Status of  Corona testing in India Samples tested in India so far               ives No  of people tested  NOT available with me Samples tested today        Highest in a day till date  Of these       ive Samples tested on Tues        Mon        Sun       ,,,,,-1
99,2020-04-08 16:35:01+00:00,Should Nationwide Lockdown be extended after   th April  What s your opinion   StayHome  COVID  Corona,,,,,0
100,2020-04-08 16:34:43+00:00, Corona                                                                                                                 yoga                                                                                                                                                                                                                                                    am    ,,,,,0
101,2020-04-08 16:32:42+00:00,Breaking  One More Death in Punjab  Distt  Ropar    yo Patient who tested positive has expired  Death Toll     Corona  Punjab,,,,,-1
102,2020-04-08 16:32:28+00:00,Advisory by   corona  covid  coronacrisis  indiafightscorona  advisory,,,,,0
103,2020-04-08 16:31:11+00:00,                                                                                                                                                                                                                                                                                                                                                                                                             Corona ,,,,,0
104,2020-04-08 16:29:58+00:00,First Corona Positive case in Distt  Muktsar  Punjab     yo  Person from Meerut   Corona ,,,,,1
105,2020-04-08 16:28:25+00:00,We can win the war against  corona by staying home and staying safe  All your destination will call you again   WeWillBeBack  StayHomeStaySafe  BigBreaks  Travel,,,,,1
106,2020-04-08 16:25:26+00:00,Bilkul agencies like these are spreading  hatevirus which more dangerous than  coronavirus    ANI                                  Hateisavirus  Corona  MediaVirus,,,,,0
107,2020-04-08 16:25:10+00:00,We  Muslims are proud on you  amp, are saluting you Sir. #NewZealand Primeminister @jacindaardern &amp, #NewZealand peoples are Great. We Pray to #Allah that All #NZ peoples will be safe from #CoronavirusOutbreak . We #indianmuslimslndanger from #IslamophobicIndianMedia &amp, #corona . ,,1
108,2020-04-08 16:24:08+00:00,It would ve sounded more co ordinated had there been no lag  I think we did a pretty good job otherwise  backstreetboys  corona  lockdown  bored  wtfvideos  jobless  singers  funny  ufjykJrgi   c c zZ E  ieQA dTwud       igshid xvthicr xi ,,,,,1
109,2020-04-08 16:22:51+00:00,oday while talking to one of my friends mother  she started CRYING   was disheartened bcz of  COVID situations across the world  For the  st time during d  LockdownNow I felt low  Hoping We Overcome Soon  StayHome  Coronafighters  coronavirusindia  CoronavirusOutbreak  Corona,,,,,-1
110,2020-04-08 16:21:36+00:00,Know Your  Mask and it   s protection Efficiency  Corona ,,,,,0
111,2020-04-08 16:21:35+00:00,                                                                                                                                          Corona  StayHomeIndia  ConquerCOVID    lockdownindia ,,,,,0
112,2020-04-08 16:20:21+00:00,Before  Corona We will make   Trillion Economy soon  After  Corona We need at least   Trillion for protect Economy  ,,,,,1
113,2020-04-08 16:19:52+00:00,                                                                                                                                                                                            FikrAapki                     Corona  coronavirus  COVID    COVID  Pandemic,,,,,0
114,2020-04-08 16:16:28+00:00,Go  Corona Go  Corona Go We have already better Viruses ,,,,,1
115,2020-04-08 16:16:25+00:00,Attention all the  CoronaWarriors  Coronafighters Time to reach out to us  Let s show the world what we do  story fbid                  amp,id=495270513826429 #COVID #lockdown #Corona #WednesdayThoughts,,,,1
116,2020-04-08 16:16:05+00:00, Corona ,,,,,0
117,2020-04-08 16:14:01+00:00,                                                                                                Biz Tak    corona    unemployment    lockdown  v qGvUhGPmB o amp,feature=youtu.be,,,,-1
118,2020-04-08 16:13:55+00:00,Know the Coronavirus   Part   Coronavirus Lifecycle   Transmission  StayHomeStaySafe  Covid    Coronavirus  CoronavirusAwareness  CoronavirusLifecycle  Corona  DrPankajTalwar  CkBirlaHospital  CoronavirusTransmission,,,,,0
119,2020-04-08 16:13:54+00:00,                                                                        Corona ,,,,,0
120,2020-04-08 16:13:28+00:00,Mera vash chle na   corona se pehle is Bikau media ko aag laga du mai,,,,,0
121,2020-04-08 16:12:44+00:00,                                                                                                                                       Biz Tak    coronatestkit    Corona  v SEx MO  vUs amp,feature=youtu.be,,,,0
122,2020-04-08 16:11:44+00:00,                                                                                           Biz Tak    Economy    Corona    lockdown  v AYZtlys KK  amp,feature=youtu.be,,,,0
123,2020-04-08 16:10:48+00:00,                                                                                         Biz Tak    coronaupdatesindia    corona    Hydroxychloroquine  v Jcrsa ztXNM amp,feature=youtu.be,,,,0
124,2020-04-08 16:10:00+00:00,  It is high time we think of raising a Medical Corps if not Comd as suggested by  in his       on  pandemic like  ebola or  corona,,,,,1
125,2020-04-08 16:09:41+00:00,When You Realised China Had More Stronger      Goals     Did We Had Some Resolutions  Now What About Them          corona  lockdown  coronavirus  covid    covid     coronaoutbreakindia  muskuraegaindia  coronaharegaindiajeetega,,,,,1
126,2020-04-08 16:07:26+00:00, staysafe Follow Social Distancing        stayhome  stayhealthy  corona  travel  india  indiacalling  triptoindia  socialdistancing  social,,,,,0
127,2020-04-08 16:05:03+00:00, ABPnews  corona  SocialDistancingNow,,,,,0
128,2020-04-08 16:05:02+00:00,                                                                                                                                                                                FikrAapki                     Corona  coronavirus  COVID    COVID  Pandemic,,,,,0
129,2020-04-08 16:03:37+00:00,  ji  This is Media who is fighting against  corona  Pl act against ,,,,,-1
130,2020-04-08 16:02:24+00:00,At the time when whole country is running behind sharaab set an example by starting this summer with home made LASSI  lockdownextension  corona ,,,,,0
131,2020-04-08 16:01:25+00:00,                         Corona                                                                                                                                                                                                                                                ,,,,,0
132,2020-04-08 16:00:12+00:00, Corona  Ganges,,,,,0
133,2020-04-08 15:59:25+00:00,Bhilwara Model in Delhi Noida Ghaziabad   Corona,,,,,0
134,2020-04-08 15:59:23+00:00,                                                                                                                                         FikrAapki                     Corona  coronavirus  COVID    COVID  Pandemic,,,,,0
135,2020-04-08 15:58:32+00:00,he Hon   ble High Court of Kerala has permitted movement outside one s premises to feed animals in light of the existing lockdown while exercising restraint on venturing out unnecessarily  Please visit  for more details   coronavirus  corona  covid   ,,,,,1
136,2020-04-08 15:58:32+00:00,                                          HYDROXYCHLOROQUINE                                                                                                                                                                             RT if you agree     COVID  Corona  lockdown,,,,,1
137,2020-04-08 15:58:11+00:00, MenVsCorona   Due to  Corona many Men on merge of loosing their Hope  Men suicide doubled vs women  but main stream Media authority like     totally ignored Men s pain suffering  why    LiberateMen  amp   SpeakUP   ,,,,,-1
138,2020-04-08 15:57:57+00:00,                     corona                                                                                                                                                                                                                                                                                                                                                lockdownextension,,,,,0
139,2020-04-08 15:56:26+00:00,                                                       public doing his duty well  but question is this what are you doing for public  kits not available for  corona checkup  how many ventilators av in whole mathra  pls do something ,,,,,0
140,2020-04-08 15:54:09+00:00,                                                                                  VC                                   PMCARES                                                                                    PM                             Corona                                                                                                                                                                                                                  AarogyaSetuApp                                                                                                                   IndiaFightsCorono,,,,,0
141,2020-04-08 15:54:08+00:00,                                                News Top                                                                                               FikrAapki                     Corona  coronavirus  COVID    COVID  Pandemic,,,,,1
142,2020-04-08 15:52:20+00:00,                                                                                                                           StayHome  StayConnected  ABPnews  Corona,,,,,0
143,2020-04-08 15:51:25+00:00, Corona                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,,,,0
144,2020-04-08 15:50:43+00:00, MenVsCorona   Due to  Corona many Men on merge of loosing their Hope  Men suicide doubled vs women  but main stream Media authority like     totally ignored Men s pain suffering  why    LiberateMen  amp   SpeakUP   ,,,,,-1
145,2020-04-08 15:48:48+00:00,Limited Private testing centers  Reagents with Labs are exhausting fast  Question is  how many free tests will the private labs have to do  Plus  who ll bear the cost  Can t test a billion people for free   Corona,,,,,1
146,2020-04-08 15:48:48+00:00,Know Your  Mask and it   s protection Efficiency  Corona ,,,,,0
147,2020-04-08 15:45:42+00:00,And now  Telangana bans chewing of tobacco  gutkha and pan  as their spitting is considered a source of  COVID   transmission   COVID  COVID      CoronaVirusUpdates  Corona ,,,,,0
148,2020-04-08 15:44:55+00:00,Face makes are compulsory in  delhi for anyone who is stepping out       CoronavirusPandemic  CoronaOutbreak  Corona  CoronaVirusUpdates  COVID  COVID      COVID  Pandemic,,,,,0
149,2020-04-08 15:44:06+00:00,It s inhuman to be so cold  When there s need of no politics  there s just need of good statics to handle the invisible catastrophe                                                             COVID  COVID    COVID  Pandemic  COVID       CoronaLockdown  CoronaInPakistan  coronavirusinindia  Corona,,,,,-1
150,2020-04-08 15:44:00+00:00, Relatableaf  marketing  digitalmarketing  corona  brandstrategy  brandsyoulove  marketingdigital  brandmarketing  marketingagency  digitalmarketing  socialmarketing  socialmediamarketing  socialmemes  covid     china  agencymemes  coronavirus  marketing     eonmarketing,,,,,0
151,2020-04-08 15:41:37+00:00,If  ChineseVirus is a problem  then let s call it  CommunistVirus  Now that s not racist and completely address the problem at large   coronavirus  covid    corona  coronawarriors  WHOLiedPeopleDied,,,,,-1
152,2020-04-08 15:41:23+00:00,                                                                                                      CORONA  INDRESH  indre    national             html,,,,,0
153,2020-04-08 15:37:24+00:00,Lagta hai tablighi jamaat walo ne sarkar ke Quarantine ko apna  QURAN TIME  sunn liya tha   COVID  Corona  COVID  ,,,,,0
154,2020-04-08 15:35:37+00:00,Such thankless President  Mexico giving them drugs and they want to build wall   Corona                                                                                                                                                                                                                                                                                            ,,,,,1
155,2020-04-08 15:34:56+00:00, ShabEBarat  WednesdayWisdom  StayHome  WednesdayMotivation  China  COVID  WednesdayThoughts  Corona ,,,,,0
156,2020-04-08 15:34:50+00:00,In Delhi it is compulsory to wearing a mask on the face when exiting the house    lockdownextension  COVID    Corona,,,,,0
157,2020-04-08 15:32:33+00:00,Masks made compulsory in Delhi  Masks All  corona,,,,,0
158,2020-04-08 15:32:20+00:00,well  mostly   covid  wfm  workfromhome  corona ,,,,,0
159,2020-04-08 15:32:17+00:00,Chor hai Media to  Corona se bhi zayada khatarnak Jiska koi antidot bhi nhi ban skta bhale he  Corona ka ban jayega par inka nhi  ,,,,,-1
160,2020-04-08 15:31:20+00:00,                              corona                                                                                                    Coronaindia  coronaupdatesindia  lockdownextension,,,,,0
161,2020-04-08 15:30:32+00:00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Corona  COVID  ,,,,,0
162,2020-04-08 15:29:40+00:00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Corona                                                                                                                                                           ,,,,,0
163,2020-04-08 15:29:22+00:00,Lag gaye    Lag gaye     volt chunne se tere kya report bhai log  lockdown  corona  stayhome  quarantine  indiafightscorona   aashutoshmishra   toabhcreative      peace  malemodel  portraitphotography     uZWwBFzbO  igshid   oipvd pwvo ,,,,,0
